Sr_no,Tweets,Retweet_Count
172,onday #MorningRush help is here. Never  lae nor early o cach s.\nUniversal wepp hps://.co/MwdV7Pgswi\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/67V5uW9Wp,0
173,f you eak a le of  dewars a an Indiana  grocery sore on Sunday can hey charge you for i? #askingforafriend,0
174, oysrusuk: WIN 1 of 10 family ickes o #ICKLIVE #rmingham on 26h-29h Oc! Follow oysrusuk and  o ener. &amp;Cs hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,153
175, rsoolUMiami: Mood hps://.co/o5kA8pguuE,31
176,e really need er inland wind guidance for Cs...hard o ge susained S winds hundreds of miles inland wih a Ca 1...,0
177,Cs_wie nesR4Dogs grigol80 DineshDSouza One of he oher misakes you made cuz youre NO well read is\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/r6vuMAgUpU,0
178, omomy: Jus don sore my dead dy in he same freezer as your oher dead Cs.,112
179,ps://.co/M9vmW9dvCv\nI is a 2 round inerview process.\n\nRound 1:... hps://.co/4a32HQJ,0
180, Freshney_Place_: #Grims! Were giving away a \xc3\x82\xc2\xa350 Freshney Place gif card. ?? Simply  &amp; follow us for he chance o win. &amp;Cs: hp\xc3\xa2\xe2\x82\xac\xc2\xa6,56
181, Freshney_Place_: Were giving away a \xc3\x82\xc2\xa350 Freshney Place gif card. ?? Simply  &amp; follow us for he chance o win. &amp;Cs: hps://.co/G\xc3\xa2\xe2\x82\xac\xc2\xa6,56
182,dama_uk o  in wih a chance of winning his gorgeous crew neck sweaer simply follow &amp; ! Ends 13/10 12pm &amp;\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/jz7z8LsvjV,0
183, SylvanianUK: *pirouees* Is #WorldlleDay! Weve go 3 lle heares o #win - jus  and FOLLOW o ener! #prize &amp;Cs - hps:\xc3\xa2\xe2\x82\xac\xc2\xa6,935
184, cineworld:  for a chance o win 1 of 3 #GoodeChrisopherRon posers SIGNED  MargoRoie &amp; ohers! Ener  151017 Cs:hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,590
185,ecklace availae for sale only Rs.750\nFree home delivery via cs Cash on delivery \nShop online a:www.Fashion\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/1el0MigfDj,0
186, enered for a chance o win 100K miles from Alaska Airlines Go Anywhere Sweeps. NPN CA Only 18+ Ends12/31/17 Cs: hps://.co/d70eU1mqH0,0
187, Mansagram_: When you see your designaed driver aking shos. hps://.co/hYGqvjixSw,50
